Fiscal Year,County,Region,Clients,Service Stages
2021,Kent,2-Abilene,2,2
2021,Knox,2-Abilene,32,34
2021,Mitchell,2-Abilene,22,22
2021,Montague,2-Abilene,75,77
2021,Nolan,2-Abilene,63,66
2021,Runnels,2-Abilene,39,40
2021,Scurry,2-Abilene,56,58
2021,Shackelford,2-Abilene,13,13
2021,Stephens,2-Abilene,20,21
2021,Stonewall,2-Abilene,8,8
2021,Taylor,2-Abilene,602,619
2021,Throckmorton,2-Abilene,8,8
2021,Wichita,2-Abilene,720,733
2021,Wilbarger,2-Abilene,78,78
2021,Young,2-Abilene,72,74
2021,Collin,3-Arlington,417,419
2021,Cooke,3-Arlington,71,72
2021,Dallas,3-Arlington,2622,2650
2021,Denton,3-Arlington,287,287
2021,Ellis,3-Arlington,101,102
2021,Erath,3-Arlington,20,20
2021,Fannin,3-Arlington,71,71
2021,Grayson,3-Arlington,283,290
2021,Hood,3-Arlington,53,53
2021,Hunt,3-Arlington,183,186
2021,Johnson,3-Arlington,135,137
2021,Kaufman,3-Arlington,109,111
2021,Navarro,3-Arlington,59,59
2021,Palo Pinto,3-Arlington,36,37
2021,Parker,3-Arlington,72,73
2021,Rockwall,3-Arlington,36,36
2021,Somervell,3-Arlington,9,9
2021,Tarrant,3-Arlington,2366,2410
2021,Wise,3-Arlington,58,58
2021,Anderson,4-Tyler,100,100
2021,Bowie,4-Tyler,154,157
2021,Camp,4-Tyler,25,25
2021,Cass,4-Tyler,56,56
2021,Cherokee,4-Tyler,107,108
2021,Delta,4-Tyler,10,10
2021,Franklin,4-Tyler,14,15
2021,Gregg,4-Tyler,107,108
2021,Harrison,4-Tyler,116,118
2021,Henderson,4-Tyler,181,188
2021,Hopkins,4-Tyler,80,81
2021,Lamar,4-Tyler,126,136
2021,Marion,4-Tyler,37,40
2021,Morris,4-Tyler,29,29
2021,Panola,4-Tyler,39,39
2021,Rains,4-Tyler,18,18
2021,Red River,4-Tyler,27,27
2021,Rusk,4-Tyler,73,77
2021,Smith,4-Tyler,469,478
2021,Titus,4-Tyler,35,35
2021,Upshur,4-Tyler,83,86
2021,Van Zandt,4-Tyler,90,91
2021,Wood,4-Tyler,112,115
2021,Angelina,5-Beaumont,144,145
2021,Hardin,5-Beaumont,63,65
2021,Houston,5-Beaumont,43,43
2021,Jasper,5-Beaumont,72,73
2021,Jefferson,5-Beaumont,480,486
2021,Nacogdoches,5-Beaumont,105,105
2021,Newton,5-Beaumont,25,25
2021,Orange,5-Beaumont,146,147
2021,Polk,5-Beaumont,123,127
2021,Sabine,5-Beaumont,28,28
2021,San Augustine,5-Beaumont,28,29
2021,San Jacinto,5-Beaumont,73,74
2021,Shelby,5-Beaumont,59,59
2021,Trinity,5-Beaumont,27,27
2021,Tyler,5-Beaumont,39,39
2021,Austin,6-Houston,46,46
2021,Brazoria,6-Houston,288,293
2021,Chambers,6-Houston,70,73
2021,Colorado,6-Houston,46,46
2021,Fort Bend,6-Houston,468,471
2021,Galveston,6-Houston,497,502
2021,Harris,6-Houston,5091,5153
2021,Liberty,6-Houston,221,231
2021,Matagorda,6-Houston,57,60
2021,Montgomery,6-Houston,588,595
2021,Walker,6-Houston,55,56
2021,Waller,6-Houston,47,50
2021,Wharton,6-Houston,43,44
2021,Bastrop,7-Austin,123,124
2021,Bell,7-Austin,411,420
2021,Blanco,7-Austin,17,17
2021,Bosque,7-Austin,21,21
2021,Brazos,7-Austin,202,203
2021,Burleson,7-Austin,43,44
2021,Burnet,7-Austin,52,52
2021,Caldwell,7-Austin,87,90
2021,Coryell,7-Austin,108,111
2021,Falls,7-Austin,31,31
2021,Fayette,7-Austin,43,45
2021,Freestone,7-Austin,27,27
2021,Grimes,7-Austin,60,63
2021,Hamilton,7-Austin,7,7
2021,Hays,7-Austin,170,170
2021,Hill,7-Austin,48,49
2021,Lampasas,7-Austin,46,46
2021,Lee,7-Austin,24,25
2021,Leon,7-Austin,22,22
2021,Limestone,7-Austin,39,39
2021,Llano,7-Austin,32,32
2021,Madison,7-Austin,22,22
2021,McLennan,7-Austin,303,305
2021,Milam,7-Austin,46,47
2021,Mills,7-Austin,9,9
2021,Robertson,7-Austin,25,25
2021,San Saba,7-Austin,7,7
2021,Travis,7-Austin,1013,1025
2021,Washington,7-Austin,52,52
2021,Williamson,7-Austin,233,234
2021,Atascosa,8-San Antonio,94,94
2021,Bandera,8-San Antonio,47,47
2021,Bexar,8-San Antonio,3527,3584
2021,Calhoun,8-San Antonio,32,32
2021,Comal,8-San Antonio,200,205
2021,DeWitt,8-San Antonio,42,43
2021,Dimmit,8-San Antonio,22,23
2021,Edwards,8-San Antonio,1,1
2021,Frio,8-San Antonio,24,24
2021,Gillespie,8-San Antonio,55,57
2021,Goliad,8-San Antonio,17,17
2021,Gonzales,8-San Antonio,24,25
2021,Guadalupe,8-San Antonio,190,192
2021,Jackson,8-San Antonio,26,26
2021,Karnes,8-San Antonio,25,25
2021,Kendall,8-San Antonio,45,45
2021,Kerr,8-San Antonio,187,189
2021,Kinney,8-San Antonio,9,9
2021,La Salle,8-San Antonio,11,11
2021,Lavaca,8-San Antonio,32,32
2021,Maverick,8-San Antonio,46,46
2021,Medina,8-San Antonio,63,64
2021,Real,8-San Antonio,8,8
2021,Uvalde,8-San Antonio,41,41
2021,Val Verde,8-San Antonio,39,40
2021,Victoria,8-San Antonio,168,171
2021,Wilson,8-San Antonio,56,57
2021,Zavala,8-San Antonio,17,18
2021,Andrews,9-Midland,15,15
2021,Coke,9-Midland,14,14
2021,Concho,9-Midland,12,12
2021,Crane,9-Midland,6,6
2021,Crockett,9-Midland,5,5
2021,Dawson,9-Midland,36,37
2021,Ector,9-Midland,206,211
2021,Gaines,9-Midland,18,18
2021,Glasscock,9-Midland,1,1
2021,Howard,9-Midland,75,75
2021,Irion,9-Midland,1,1
2021,Kimble,9-Midland,11,12
2021,Martin,9-Midland,3,3
2021,Mason,9-Midland,10,10
2021,McCulloch,9-Midland,37,38
2021,Menard,9-Midland,6,6
2021,Midland,9-Midland,103,104
2021,Pecos,9-Midland,51,52
2021,Reagan,9-Midland,4,4
2021,Reeves,9-Midland,26,27
2021,Schleicher,9-Midland,9,9
2021,Sterling,9-Midland,3,3
2021,Sutton,9-Midland,4,4
2021,Terrell,9-Midland,4,4
2021,Tom Green,9-Midland,508,522
2021,Upton,9-Midland,1,1
2021,Ward,9-Midland,18,19
2021,Winkler,9-Midland,3,3
2021,Brewster,10-El Paso,39,39
2021,Culberson,10-El Paso,3,3
2021,El Paso,10-El Paso,1168,1181
2021,Hudspeth,10-El Paso,11,11
2021,Jeff Davis,10-El Paso,1,1
2021,Presidio,10-El Paso,20,20
2021,Aransas,11-Edinburg,74,74
2021,Bee,11-Edinburg,18,18
2021,Brooks,11-Edinburg,16,16
2021,Cameron,11-Edinburg,593,598
2021,Duval,11-Edinburg,20,20
2021,Hidalgo,11-Edinburg,1077,1090
2021,Jim Hogg,11-Edinburg,9,9
2021,Jim Wells,11-Edinburg,62,62
2021,Kleberg,11-Edinburg,57,57
2021,Live Oak,11-Edinburg,7,7
2021,Nueces,11-Edinburg,775,785
2021,Refugio,11-Edinburg,11,11
2021,San Patricio,11-Edinburg,114,115
2021,Starr,11-Edinburg,70,70
2021,Webb,11-Edinburg,199,204
2021,Willacy,11-Edinburg,41,42
2021,Zapata,11-Edinburg,13,13
2021,Out of State,Out of State,22,22
2020,Bailey,1-Lubbock,15,16
2020,Briscoe,1-Lubbock,2,2
2020,Carson,1-Lubbock,11,11
2020,Castro,1-Lubbock,12,12
2020,Childress,1-Lubbock,18,18
2020,Cochran,1-Lubbock,22,23
2020,Collingsworth,1-Lubbock,13,13
2020,Crosby,1-Lubbock,43,46
2020,Dallam,1-Lubbock,7,7
2020,Deaf Smith,1-Lubbock,27,27
2020,Dickens,1-Lubbock,8,8
2020,Donley,1-Lubbock,18,18
2020,Floyd,1-Lubbock,33,36
2020,Garza,1-Lubbock,31,31
2020,Gray,1-Lubbock,83,83
2020,Hale,1-Lubbock,96,99
2020,Hall,1-Lubbock,11,11
2020,Hansford,1-Lubbock,12,12
2020,Hartley,1-Lubbock,2,2
2020,Hemphill,1-Lubbock,4,4
2020,Hockley,1-Lubbock,83,89
2020,Hutchinson,1-Lubbock,95,97
2020,Lamb,1-Lubbock,102,103
2020,Lipscomb,1-Lubbock,3,3
2020,Lubbock,1-Lubbock,955,1004
2020,Lynn,1-Lubbock,24,25
2020,Moore,1-Lubbock,30,31
2020,Motley,1-Lubbock,4,4
2020,Ochiltree,1-Lubbock,16,16
2020,Oldham,1-Lubbock,4,4
2020,Parmer,1-Lubbock,11,11
2020,Potter,1-Lubbock,424,436
2020,Randall,1-Lubbock,199,201
2020,Roberts,1-Lubbock,2,2
2020,Sherman,1-Lubbock,3,3
2020,Swisher,1-Lubbock,23,23
2020,Terry,1-Lubbock,104,116
2020,Wheeler,1-Lubbock,9,10
2020,Yoakum,1-Lubbock,5,5
2020,Archer,2-Abilene,38,38
2020,Baylor,2-Abilene,18,19
2020,Brown,2-Abilene,145,146
2020,Callahan,2-Abilene,48,49
2020,Clay,2-Abilene,35,36
2020,Coleman,2-Abilene,33,33
2020,Comanche,2-Abilene,47,47
2020,Cottle,2-Abilene,9,10
2020,Eastland,2-Abilene,56,58
2020,Fisher,2-Abilene,12,13
2020,Foard,2-Abilene,8,8
2020,Hardeman,2-Abilene,31,33
2020,Haskell,2-Abilene,18,18
2020,Jack,2-Abilene,20,20
2020,Jones,2-Abilene,48,48
2020,Kent,2-Abilene,1,1
2020,Knox,2-Abilene,10,10
2020,Mitchell,2-Abilene,22,22
2020,Montague,2-Abilene,83,84
2020,Nolan,2-Abilene,48,48
2020,Runnels,2-Abilene,59,60
2020,Scurry,2-Abilene,32,32
2020,Shackelford,2-Abilene,4,4
2020,Stephens,2-Abilene,15,15
2020,Stonewall,2-Abilene,7,7
2020,Taylor,2-Abilene,573,586
2020,Throckmorton,2-Abilene,4,4
2020,Wichita,2-Abilene,737,747
2020,Wilbarger,2-Abilene,118,120
2020,Young,2-Abilene,53,53
2020,Collin,3-Arlington,415,418
2020,Cooke,3-Arlington,51,51
2020,Dallas,3-Arlington,2176,2200
2020,Denton,3-Arlington,398,400
2020,Ellis,3-Arlington,81,82
2020,Erath,3-Arlington,18,18
2020,Fannin,3-Arlington,81,81
2020,Grayson,3-Arlington,252,256
2020,Hood,3-Arlington,43,43
2020,Hunt,3-Arlington,199,200
2020,Johnson,3-Arlington,176,179
2020,Kaufman,3-Arlington,92,93
2020,Navarro,3-Arlington,88,88
2020,Palo Pinto,3-Arlington,28,28
2020,Parker,3-Arlington,77,80
2020,Rockwall,3-Arlington,28,28
2020,Somervell,3-Arlington,3,3
2020,Tarrant,3-Arlington,2209,2261
2020,Wise,3-Arlington,42,42
2020,Anderson,4-Tyler,71,73
2020,Bowie,4-Tyler,124,126
2020,Camp,4-Tyler,31,32
2020,Cass,4-Tyler,42,42
2020,Cherokee,4-Tyler,140,140
2020,Delta,4-Tyler,12,12
2020,Franklin,4-Tyler,18,19
2020,Gregg,4-Tyler,113,114
2020,Harrison,4-Tyler,45,45
2020,Henderson,4-Tyler,225,232
2020,Hopkins,4-Tyler,114,116
2020,Lamar,4-Tyler,113,118
2020,Marion,4-Tyler,14,14
2020,Morris,4-Tyler,36,37
2020,Panola,4-Tyler,33,34
2020,Rains,4-Tyler,15,15
2020,Red River,4-Tyler,39,39
2020,Rusk,4-Tyler,69,69
2020,Smith,4-Tyler,461,463
2020,Titus,4-Tyler,51,53
2020,Upshur,4-Tyler,61,63
2020,Van Zandt,4-Tyler,77,77
2020,Wood,4-Tyler,144,146
2020,Angelina,5-Beaumont,208,209
2020,Hardin,5-Beaumont,65,66
2020,Houston,5-Beaumont,55,56
2020,Jasper,5-Beaumont,69,70
2020,Jefferson,5-Beaumont,525,525
2020,Nacogdoches,5-Beaumont,144,147
2020,Newton,5-Beaumont,28,28
2020,Orange,5-Beaumont,171,172
2020,Polk,5-Beaumont,154,156
2020,Sabine,5-Beaumont,18,18
2020,San Augustine,5-Beaumont,27,27
2020,San Jacinto,5-Beaumont,101,101
2020,Shelby,5-Beaumont,48,49
2020,Trinity,5-Beaumont,52,52
2020,Tyler,5-Beaumont,41,41
2020,Austin,6-Houston,33,33
2020,Brazoria,6-Houston,308,309
2020,Chambers,6-Houston,61,65
2020,Colorado,6-Houston,35,35
2020,Fort Bend,6-Houston,486,494
2020,Galveston,6-Houston,511,513
2020,Harris,6-Houston,5741,5819
2020,Liberty,6-Houston,210,213
2020,Matagorda,6-Houston,48,51
2020,Montgomery,6-Houston,652,661
2020,Walker,6-Houston,71,71
2020,Waller,6-Houston,59,60
2020,Wharton,6-Houston,53,54
2020,Bastrop,7-Austin,131,133
2020,Bell,7-Austin,276,278
2020,Blanco,7-Austin,12,12
2020,Bosque,7-Austin,31,31
2020,Brazos,7-Austin,211,211
2020,Burleson,7-Austin,42,43
2020,Burnet,7-Austin,53,53
2020,Caldwell,7-Austin,90,91
2020,Coryell,7-Austin,108,109
2020,Falls,7-Austin,42,42
2020,Fayette,7-Austin,32,32
2020,Freestone,7-Austin,34,34
2020,Grimes,7-Austin,49,49
2020,Hamilton,7-Austin,10,10
2020,Hays,7-Austin,160,162
2020,Hill,7-Austin,59,60
2020,Lampasas,7-Austin,41,41
2020,Lee,7-Austin,25,25
2020,Leon,7-Austin,38,38
2020,Limestone,7-Austin,33,33
2020,Llano,7-Austin,32,32
2020,Madison,7-Austin,24,24
2020,McLennan,7-Austin,324,325
2020,Milam,7-Austin,43,43
2020,Mills,7-Austin,8,8
2020,Robertson,7-Austin,22,22
2020,San Saba,7-Austin,19,19
2020,Travis,7-Austin,1041,1059
2020,Washington,7-Austin,40,41
2020,Williamson,7-Austin,311,313
2020,Atascosa,8-San Antonio,131,132
2020,Bandera,8-San Antonio,54,55
2020,Bexar,8-San Antonio,3701,3743
2020,Calhoun,8-San Antonio,31,31
2020,Comal,8-San Antonio,238,242
2020,DeWitt,8-San Antonio,44,44
2020,Dimmit,8-San Antonio,15,16
2020,Edwards,8-San Antonio,4,4
2020,Frio,8-San Antonio,6,6
2020,Gillespie,8-San Antonio,43,45
2020,Goliad,8-San Antonio,18,18
2020,Gonzales,8-San Antonio,9,9
2020,Guadalupe,8-San Antonio,187,191
2020,Jackson,8-San Antonio,25,25
2020,Karnes,8-San Antonio,27,28
2020,Kendall,8-San Antonio,66,67
2020,Kerr,8-San Antonio,188,188
2020,Kinney,8-San Antonio,4,4
2020,La Salle,8-San Antonio,9,9
2020,Lavaca,8-San Antonio,20,20
2020,Maverick,8-San Antonio,47,48
2020,Medina,8-San Antonio,88,88
2020,Real,8-San Antonio,15,16
2020,Uvalde,8-San Antonio,58,59
2020,Val Verde,8-San Antonio,22,22
2020,Victoria,8-San Antonio,184,186
2020,Wilson,8-San Antonio,96,96
2020,Zavala,8-San Antonio,5,5
2020,Andrews,9-Midland,8,8
2020,Coke,9-Midland,23,23
2020,Concho,9-Midland,10,10
2020,Crane,9-Midland,5,5
2020,Crockett,9-Midland,8,8
2020,Dawson,9-Midland,45,49
2020,Ector,9-Midland,175,176
2020,Gaines,9-Midland,13,14
2020,Glasscock,9-Midland,2,2
2020,Howard,9-Midland,84,86
2020,Irion,9-Midland,3,3
2020,Kimble,9-Midland,13,13
2020,Martin,9-Midland,4,4
2020,Mason,9-Midland,4,4
2020,McCulloch,9-Midland,48,50
2020,Menard,9-Midland,11,14
2020,Midland,9-Midland,101,101
2020,Pecos,9-Midland,35,35
2020,Reeves,9-Midland,18,18
2020,Schleicher,9-Midland,3,3
2020,Sterling,9-Midland,1,1
2020,Sutton,9-Midland,4,4
2020,Terrell,9-Midland,5,5
2020,Tom Green,9-Midland,567,578
2020,Upton,9-Midland,3,4
2020,Ward,9-Midland,21,21
2020,Winkler,9-Midland,6,6
2020,Brewster,10-El Paso,49,49
2020,Culberson,10-El Paso,9,9
2020,El Paso,10-El Paso,1366,1380
2020,Hudspeth,10-El Paso,11,11
2020,Jeff Davis,10-El Paso,3,3
2020,Presidio,10-El Paso,26,26
2020,Aransas,11-Edinburg,76,77
2020,Bee,11-Edinburg,68,68
2020,Brooks,11-Edinburg,14,14
2020,Cameron,11-Edinburg,665,670
2020,Duval,11-Edinburg,18,18
2020,Hidalgo,11-Edinburg,1302,1315
2020,Jim Hogg,11-Edinburg,5,5
2020,Jim Wells,11-Edinburg,64,64
2020,Kleberg,11-Edinburg,39,39
2020,Live Oak,11-Edinburg,15,15
2020,McMullen,11-Edinburg,2,2
2020,Nueces,11-Edinburg,871,888
2020,Refugio,11-Edinburg,13,13
2020,San Patricio,11-Edinburg,182,185
2020,Starr,11-Edinburg,98,98
2020,Webb,11-Edinburg,185,187
2020,Willacy,11-Edinburg,48,48
2020,Zapata,11-Edinburg,20,20
2020,Out of State,Out of State,15,15
2019,Armstrong,1-Lubbock,1,1
2019,Bailey,1-Lubbock,14,15
2019,Briscoe,1-Lubbock,2,2
2019,Carson,1-Lubbock,14,14
2019,Castro,1-Lubbock,6,6
2019,Childress,1-Lubbock,16,16
2019,Cochran,1-Lubbock,49,51
2019,Collingsworth,1-Lubbock,12,12
2019,Crosby,1-Lubbock,58,59
2019,Dallam,1-Lubbock,16,16
2019,Deaf Smith,1-Lubbock,21,21
2019,Dickens,1-Lubbock,15,15
2019,Donley,1-Lubbock,15,15
2019,Floyd,1-Lubbock,27,28
2019,Garza,1-Lubbock,46,47
2019,Gray,1-Lubbock,75,75
2019,Hale,1-Lubbock,84,86
2019,Hall,1-Lubbock,13,13
2019,Hansford,1-Lubbock,3,3
2019,Hemphill,1-Lubbock,2,2
2019,Hockley,1-Lubbock,94,97
2019,Hutchinson,1-Lubbock,74,75
2019,Lamb,1-Lubbock,71,74
2019,Lipscomb,1-Lubbock,2,2
2019,Lubbock,1-Lubbock,1114,1156
2019,Lynn,1-Lubbock,46,47
2019,Moore,1-Lubbock,35,35
2019,Motley,1-Lubbock,6,6
2019,Ochiltree,1-Lubbock,21,21
2019,Oldham,1-Lubbock,4,4
2019,Parmer,1-Lubbock,7,7
2019,Potter,1-Lubbock,469,475
2019,Randall,1-Lubbock,185,188
2019,Sherman,1-Lubbock,6,6
2019,Swisher,1-Lubbock,20,20
2019,Terry,1-Lubbock,113,118
2019,Wheeler,1-Lubbock,15,15
2019,Yoakum,1-Lubbock,9,9
2019,Archer,2-Abilene,43,45
2019,Baylor,2-Abilene,30,31
2019,Brown,2-Abilene,131,131
2019,Callahan,2-Abilene,57,57
2019,Clay,2-Abilene,39,39
2019,Coleman,2-Abilene,57,58
2019,Comanche,2-Abilene,43,43
2019,Cottle,2-Abilene,4,4
2019,Eastland,2-Abilene,70,72
2019,Fisher,2-Abilene,10,10
2019,Foard,2-Abilene,10,10
2019,Hardeman,2-Abilene,22,22
2019,Haskell,2-Abilene,29,29
2019,Jack,2-Abilene,12,13
2019,Jones,2-Abilene,46,47
2019,Knox,2-Abilene,9,9
2019,Mitchell,2-Abilene,17,19
2019,Montague,2-Abilene,88,91
2019,Nolan,2-Abilene,48,49
2019,Runnels,2-Abilene,49,49
2019,Scurry,2-Abilene,26,26
2019,Shackelford,2-Abilene,3,3
2019,Stephens,2-Abilene,24,26
2019,Stonewall,2-Abilene,2,2
2019,Taylor,2-Abilene,694,712
2019,Throckmorton,2-Abilene,7,7
2019,Wichita,2-Abilene,797,828
2019,Wilbarger,2-Abilene,84,84
2019,Young,2-Abilene,64,66
2019,Collin,3-Arlington,305,305
2019,Cooke,3-Arlington,52,52
2019,Dallas,3-Arlington,1565,1576
2019,Denton,3-Arlington,399,401
2019,Ellis,3-Arlington,75,75
2019,Erath,3-Arlington,23,23
2019,Fannin,3-Arlington,81,82
2019,Grayson,3-Arlington,287,288
2019,Hood,3-Arlington,30,30
2019,Hunt,3-Arlington,178,178
2019,Johnson,3-Arlington,123,123
2019,Kaufman,3-Arlington,136,136
2019,Navarro,3-Arlington,47,47
2019,Palo Pinto,3-Arlington,24,24
2019,Parker,3-Arlington,70,73
2019,Rockwall,3-Arlington,37,37
2019,Somervell,3-Arlington,6,6
2019,Tarrant,3-Arlington,1762,1793
2019,Wise,3-Arlington,47,48
2019,Anderson,4-Tyler,79,79
2019,Bowie,4-Tyler,137,138
2019,Camp,4-Tyler,34,35
2019,Cass,4-Tyler,63,63
2019,Cherokee,4-Tyler,112,112
2019,Delta,4-Tyler,12,12
2019,Franklin,4-Tyler,15,16
2019,Gregg,4-Tyler,72,72
2019,Harrison,4-Tyler,34,34
2019,Henderson,4-Tyler,234,239
2019,Hopkins,4-Tyler,82,82
2019,Lamar,4-Tyler,119,125
2019,Marion,4-Tyler,10,10
2019,Morris,4-Tyler,26,26
2019,Panola,4-Tyler,38,38
2019,Rains,4-Tyler,31,31
2019,Red River,4-Tyler,42,44
2019,Rusk,4-Tyler,83,84
2019,Smith,4-Tyler,424,439
2019,Titus,4-Tyler,32,32
2019,Upshur,4-Tyler,57,57
2019,Van Zandt,4-Tyler,113,116
2019,Wood,4-Tyler,101,102
2019,Angelina,5-Beaumont,242,248
2019,Hardin,5-Beaumont,78,79
2019,Houston,5-Beaumont,61,61
2019,Jasper,5-Beaumont,82,82
2019,Jefferson,5-Beaumont,530,533
2019,Nacogdoches,5-Beaumont,151,151
2019,Newton,5-Beaumont,26,27
2019,Orange,5-Beaumont,154,154
2019,Polk,5-Beaumont,134,134
2019,Sabine,5-Beaumont,34,35
2019,San Augustine,5-Beaumont,54,54
2019,San Jacinto,5-Beaumont,120,125
2019,Shelby,5-Beaumont,68,75
2019,Trinity,5-Beaumont,60,60
2019,Tyler,5-Beaumont,43,43
2019,Austin,6-Houston,25,25
2019,Brazoria,6-Houston,207,210
2019,Chambers,6-Houston,60,63
2019,Colorado,6-Houston,27,27
2019,Fort Bend,6-Houston,393,395
2019,Galveston,6-Houston,515,519
2019,Harris,6-Houston,5200,5278
2019,Liberty,6-Houston,211,214
2019,Matagorda,6-Houston,26,27
2019,Montgomery,6-Houston,657,664
2019,Walker,6-Houston,76,78
2019,Waller,6-Houston,53,55
2019,Wharton,6-Houston,50,53
2019,Bastrop,7-Austin,144,146
2019,Bell,7-Austin,328,332
2019,Blanco,7-Austin,6,6
2019,Bosque,7-Austin,43,43
2019,Brazos,7-Austin,215,215
2019,Burleson,7-Austin,31,31
2019,Burnet,7-Austin,69,69
2019,Caldwell,7-Austin,86,86
2019,Coryell,7-Austin,114,116
2019,Falls,7-Austin,41,41
2019,Fayette,7-Austin,63,64
2019,Freestone,7-Austin,31,31
2019,Grimes,7-Austin,60,60
2019,Hamilton,7-Austin,25,26
2019,Hays,7-Austin,218,220
2019,Hill,7-Austin,60,62
2019,Lampasas,7-Austin,37,37
2019,Lee,7-Austin,26,27
2019,Leon,7-Austin,28,28
2019,Limestone,7-Austin,42,42
2019,Llano,7-Austin,70,70
2019,Madison,7-Austin,26,27
2019,McLennan,7-Austin,329,332
2019,Milam,7-Austin,34,34
2019,Mills,7-Austin,2,2
2019,Robertson,7-Austin,40,40
2019,San Saba,7-Austin,10,10
2019,Travis,7-Austin,827,834
2019,Washington,7-Austin,38,40
2019,Williamson,7-Austin,220,220
2019,Atascosa,8-San Antonio,119,121
2019,Bandera,8-San Antonio,70,71
2019,Bexar,8-San Antonio,3660,3699
2019,Calhoun,8-San Antonio,59,59
2019,Comal,8-San Antonio,185,185
2019,DeWitt,8-San Antonio,26,26
2019,Dimmit,8-San Antonio,30,30
2019,Edwards,8-San Antonio,2,2
2019,Frio,8-San Antonio,31,31
2019,Gillespie,8-San Antonio,58,58
2019,Goliad,8-San Antonio,14,14
2019,Gonzales,8-San Antonio,27,27
2019,Guadalupe,8-San Antonio,190,191
2019,Jackson,8-San Antonio,19,20
2019,Karnes,8-San Antonio,31,32
2019,Kendall,8-San Antonio,79,81
2019,Kerr,8-San Antonio,196,198
2019,Kinney,8-San Antonio,7,7
2019,La Salle,8-San Antonio,12,12
2019,Lavaca,8-San Antonio,15,15
2019,Maverick,8-San Antonio,67,67
2019,Medina,8-San Antonio,78,79
2019,Real,8-San Antonio,19,19
2019,Uvalde,8-San Antonio,57,58
2019,Val Verde,8-San Antonio,45,46
2019,Victoria,8-San Antonio,172,172
2019,Wilson,8-San Antonio,67,68
2019,Zavala,8-San Antonio,19,19
2019,Andrews,9-Midland,14,14
2019,Coke,9-Midland,6,6
2019,Concho,9-Midland,9,9
2019,Crane,9-Midland,9,9
2019,Crockett,9-Midland,10,10
2019,Dawson,9-Midland,51,52
2019,Ector,9-Midland,181,182
2019,Gaines,9-Midland,16,16
2019,Howard,9-Midland,86,86
2019,Irion,9-Midland,1,1
2019,Kimble,9-Midland,25,26
2019,Martin,9-Midland,8,9
2019,Mason,9-Midland,4,4
2019,McCulloch,9-Midland,38,38
2019,Menard,9-Midland,7,7
2019,Midland,9-Midland,109,110
2019,Pecos,9-Midland,40,40
2019,Reagan,9-Midland,1,1
2019,Reeves,9-Midland,23,23
2019,Schleicher,9-Midland,6,6
2019,Sterling,9-Midland,1,1
2019,Sutton,9-Midland,6,6
2019,Terrell,9-Midland,2,2
2019,Tom Green,9-Midland,572,587
2019,Upton,9-Midland,4,4
2019,Ward,9-Midland,19,19
2019,Winkler,9-Midland,7,7
2019,Brewster,10-El Paso,49,49
2019,Culberson,10-El Paso,16,16
2019,El Paso,10-El Paso,1584,1590
2019,Hudspeth,10-El Paso,14,14
2019,Jeff Davis,10-El Paso,3,3
2019,Presidio,10-El Paso,22,22
2019,Aransas,11-Edinburg,95,95
2019,Bee,11-Edinburg,76,77
